"V2"	"V2.1"	"V2.2"
"559"	0.01175082	0.009270732	0.0151882
"560"	0.01133444	0.008919394	0.01457939
"561"	0.01103923	0.008694643	0.01421415
"562"	0.01081045	0.008550994	0.01396605
"563"	0.01067062	0.00845823	0.01378748
"564"	0.01064767	0.008443359	0.01371333
"565"	0.01063955	0.008433297	0.0137209
"566"	0.01063242	0.008428487	0.01376371
"567"	0.01069497	0.008464923	0.01390118
"568"	0.01078348	0.008537131	0.01403232
"569"	0.0108696	0.008597598	0.01417286
"570"	0.01095695	0.008687777	0.01431899
"571"	0.01099365	0.008733875	0.01444216
"572"	0.01104864	0.008805589	0.01462597
"573"	0.01113464	0.008885493	0.01476001
"574"	0.01121882	0.00894535	0.0148653
"575"	0.01129516	0.009036893	0.01503076
"576"	0.01143872	0.009223755	0.01529568
"577"	0.01163648	0.009341107	0.01555763
"578"	0.01176682	0.009454462	0.01580177
"579"	0.01186808	0.009572391	0.01598529
"580"	0.0119054	0.009610558	0.01603859
"581"	0.01184598	0.009546869	0.01598492
"582"	0.01176175	0.009521593	0.0159284
"583"	0.0116374	0.009453867	0.01579767
"584"	0.01152623	0.009371397	0.01568393
"585"	0.01152909	0.009358701	0.01565887
"586"	0.0115185	0.009390797	0.0156358
"587"	0.01146625	0.00935939	0.01559449
"588"	0.01146128	0.009335263	0.01558012
"589"	0.01145699	0.009317692	0.01559093
"590"	0.01147526	0.009361208	0.01567277
"591"	0.01147526	0.009383389	0.01568052
"592"	0.01148846	0.009374723	0.01566865
"593"	0.01150983	0.009378984	0.01566226
"594"	0.01153279	0.009394417	0.01567755
"595"	0.01155624	0.009376364	0.01567789
"596"	0.01156777	0.009357146	0.01566249
"597"	0.01158081	0.009339425	0.01560603
"598"	0.01157407	0.009362298	0.01559472
"599"	0.01158557	0.00932176	0.01555612
"600"	0.0115836	0.009272878	0.01551727
"601"	0.01157533	0.009256784	0.01546166
"602"	0.01164792	0.009286612	0.01543782
"603"	0.0116844	0.009336204	0.0155032
"604"	0.01170687	0.009328051	0.01551968
"605"	0.01175878	0.009325573	0.01554487
"606"	0.01184203	0.009427063	0.0156114
"607"	0.01194661	0.009488892	0.01569109
"608"	0.01208177	0.009541403	0.01583734
"609"	0.01223119	0.009650089	0.01598666
"610"	0.01236382	0.009742697	0.01612351
"611"	0.01255333	0.009874078	0.0163871
"612"	0.01277262	0.01004073	0.01670699
"613"	0.01297833	0.0101769	0.01694484
"614"	0.01325983	0.01035924	0.01723398
"615"	0.01354493	0.01055245	0.01754052
"616"	0.01376704	0.01069747	0.01784393
"617"	0.01398263	0.01083081	0.01813887
"618"	0.01422274	0.01103259	0.01845075
"619"	0.01441931	0.01117662	0.01871149
"620"	0.01459448	0.01131035	0.01894537
"621"	0.0147197	0.01142951	0.01919433
"622"	0.01483859	0.0115267	0.01936954
"623"	0.01495895	0.01161204	0.01952595
"624"	0.01503547	0.01172324	0.01971828
"625"	0.01507262	0.01178138	0.01987481
"626"	0.01512593	0.01181462	0.02001191
"627"	0.01516559	0.01188417	0.02017216
"628"	0.01521905	0.01195662	0.02029498
"629"	0.01531343	0.01203919	0.02042434
"630"	0.01544968	0.01217232	0.02066985
"631"	0.01555963	0.01227483	0.02089471
"632"	0.01565254	0.01239567	0.02110993
